CODIGOARTICULO;SECCION;NOMBREARTICULO;PRECIO;FECHA;IMPORTADO;PAISDEORIGEN;FOTO
AR50;ALTA COSTURA;TRAJE CABALLERO;1284.58;11/03/2002;VERDADERO;ITALIA;
AR51;DEPORTES DE RIESGO;RAQUETA TENIS;1093.47;20/03/2000;VERDADERO;USA;
AR52;DEPORTES DE RIESGO;MANCUERNAS;1060.00;13/09/2000;VERDADERO;USA;
AR53;ALTA COSTURA;SERRUCHO;1030.20;23/03/2001;VERDADERO;FRANCIA;
AR54;ALTA COSTURA;PANTALON SENORA;1174.23;10/01/2000;VERDADERO;MARRUECOS;
AR55;ALTA COSTURA;CAMISA CABALLERO;1067.13;11/08/2002;FALSO;ESPANA;
AR56;DEPORTES DE RIESGO;PISTOLA OLIMPICA;1046.73;02/02/2001;VERDADERO;SUECIA;
AR57;ALTA COSTURA;BLUSA SRA.;1101.06;18/03/2000;VERDADERO;CHINA;
AR58;ALTA COSTURA;CAZADORA PIEL;1522.69;10/07/2001;VERDADERO;ITALIA;
AR59;DEPORTES DE RIESGO;BALON RUGBY;1111.64;11/11/2000;VERDADERO;USA;
AR60;DEPORTES DE RIESGO;BALON BALONCESTO;1075.27;25/06/2001;VERDADERO;JAPON;
AR61;ALTA COSTURA;ABRIGO CABALLERO;1500.00;05/04/2002;VERDADERO;ITALIA;
AR62;DEPORTES DE RIESGO;BALON FUTBOL;1043.91;04/07/2002;FALSO;ESPANA;
AR63;ALTA COSTURA;ABRIGO SRA;1360.07;03/05/2001;VERDADERO;MARRUECOS;
AR64;DEPORTES DE RIESGO;CRONOMETRO;1439.18;03/01/2002;VERDADERO;USA;
AR65;ALTA COSTURA;CINTURON DE PIEL;1004.33;12/05/2002;FALSO;ESPANA;
AR66;DEPORTES DE RIESGO;CANA DE PESCA;1270.00;14/02/2000;VERDADERO;USA;
AR67;DEPORTES DE RIESGO;BOTA ALPINISMO;1144.00;05/05/2002;FALSO;ESPANA;
AR68;DEPORTES DE RIESGO;PALAS DE PING PONG;1021.60;02/02/2002;FALSO;ESPANA;
