NUMERODEPEDIDO;CODIGOCLIENTE;FECHADEPEDIDO;FORMADEPAGO;DESCUENTO;ENVIADO
1;CT01;11/03/2000;CONTADO;2,00%;VERDADERO
3;CT23;18/03/2000;APLAZADO;6,00%;FALSO
5;CT25;31/03/2000;CONTADO;9,00%;FALSO
7;CT12;12/04/2000;CONTADO;7,00%;FALSO
8;CT01;15/04/2000;TARJETA;2,00%;VERDADERO
9;CT21;21/04/2000;CONTADO;4,00%;FALSO
13;CT13;30/04/2000;APLAZADO;3,00%;FALSO
22;CT07;31/05/2000;TARJETA;5,00%;VERDADERO
25;CT18;02/06/2000;CONTADO;6,00%;FALSO
27;CT34;06/06/2000;CONTADO;4,00%;FALSO
31;CT30;08/06/2000;TARJETA;5,00%;VERDADERO
28;CT28;08/06/2000;APLAZADO;8,00%;FALSO
47;CT34;31/07/2000;APLAZADO;8,00%;FALSO
30;CT02;15/08/2000;CONTADO;6,00%;VERDADERO
63;CT28;10/09/2000;CONTADO;9,00%;FALSO
77;CT01;28/10/2000;CONTADO;5,00%;FALSO
79;CT34;12/12/2000;CONTADO;5,00%;FALSO
105;CT30;01/01/2001;APLAZADO;9,00%;FALSO
102;CT06;12/01/2001;CONTADO;7,00%;VERDADERO
103;CT02;24/01/2001;CONTADO;4,00%;FALSO
29;CT30;02/04/2001;TARJETA;6,00%;FALSO
11;CT04;01/05/2001;CONTADO;8,00%;VERDADERO
16;CT25;11/05/2001;CONTADO;12,00%;FALSO
12;CT06;19/05/2001;CONTADO;9,00%;VERDADERO
21;CT16;28/05/2001;CONTADO;3,00%;FALSO
26;CT09;04/06/2001;APLAZADO;7,00%;VERDADERO
32;CT14;20/06/2001;APLAZADO;6,00%;FALSO
35;CT26;30/06/2001;CONTADO;6,00%;FALSO
37;CT24;02/07/2001;TARJETA;3,00%;VERDADERO
39;CT20;08/07/2001;TARJETA;6,00%;VERDADERO
43;CT09;18/07/2001;CONTADO;7,00%;FALSO
73;CT01;02/08/2001;CONTADO;7,00%;FALSO
86;CT09;24/12/2001;APLAZADO;3,00%;FALSO
98;CT01;27/12/2001;CONTADO;8,00%;VERDADERO
5050;CT30;27/03/2002;TARJETA;0,00%;VERDADERO
19;CT10;22/05/2002;CONTADO;7,00%;VERDADERO
34;CT26;23/06/2002;TARJETA;5,00%;FALSO
40;CT04;12/07/2002;CONTADO;12,00%;FALSO
42;CT34;15/07/2002;APLAZADO;7,00%;VERDADERO
44;CT34;20/07/2002;APLAZADO;4,00%;FALSO
45;CT30;22/07/2002;TARJETA;7,00%;FALSO
46;CT31;25/07/2002;CONTADO;6,00%;FALSO
5005;CT30;10/08/2002;TARJETA;0,00%;VERDADERO
72;CT01;18/08/2002;CONTADO;5,00%;VERDADERO
48;CT18;30/08/2002;CONTADO;3,00%;FALSO
49;CT28;02/09/2002;CONTADO;3,00%;FALSO
50;CT09;05/09/2002;APLAZADO;8,00%;FALSO
51;CT09;05/09/2002;CONTADO;5,00%;VERDADERO
74;CT01;17/09/2002;APLAZADO;8,00%;FALSO
75;CT01;30/09/2002;TARJETA;12,00%;FALSO
76;CT01;19/10/2002;CONTADO;4,00%;VERDADERO
85;CT04;23/12/2002;TARJETA;4,00%;FALSO
